X,Y,click
117.0,86.0,0.0
113.0,82.0,0.0
109.0,77.0,0.0
105.0,71.0,0.0
101.0,64.0,0.0
97.0,56.0,0.0
93.0,47.0,0.0
89.0,37.0,1.0
89.0,37.0,0.0
85.0,46.0,0.0
81.0,54.0,0.0
77.0,61.0,0.0
73.0,67.0,0.0
69.0,72.0,0.0
65.0,76.0,0.0
61.0,79.0,0.0
57.0,81.0,0.0
53.0,82.0,0.0
49.0,82.0,0.0
45.0,81.0,0.0
41.0,79.0,0.0
37.0,76.0,0.0
33.0,72.0,0.0
29.0,67.0,0.0
25.0,61.0,0.0
21.0,54.0,1.0
21.0,54.0,0.0
17.0,63.0,0.0
13.0,71.0,0.0
9.0,78.0,0.0
5.0,84.0,0.0
1.0,89.0,0.0
141.0,145.0,0.0
137.0,148.0,0.0
133.0,150.0,0.0
129.0,151.0,0.0
125.0,151.0,0.0
121.0,150.0,0.0
117.0,148.0,0.0
113.0,145.0,0.0
109.0,141.0,0.0
105.0,136.0,0.0
101.0,130.0,0.0
97.0,123.0,0.0
93.0,115.0,0.0
89.0,106.0,0.0
85.0,96.0,0.0
81.0,86.0,0.0
77.0,76.0,0.0
73.0,66.0,0.0
69.0,56.0,1.0
69.0,56.0,0.0
65.0,65.0,0.0
61.0,73.0,0.0
57.0,80.0,0.0
53.0,86.0,0.0
49.0,91.0,0.0
45.0,95.0,0.0
41.0,98.0,0.0
37.0,100.0,0.0
33.0,101.0,0.0
29.0,101.0,0.0
25.0,100.0,0.0
21.0,98.0,0.0
17.0,95.0,0.0
13.0,91.0,0.0
9.0,86.0,0.0
5.0,80.0,0.0
1.0,73.0,0.0
149.0,98.0,0.0
145.0,89.0,1.0
145.0,89.0,0.0
141.0,98.0,0.0
137.0,106.0,0.0
133.0,113.0,0.0
129.0,119.0,0.0
125.0,124.0,0.0
121.0,128.0,0.0
117.0,131.0,0.0
113.0,133.0,0.0
109.0,134.0,0.0
105.0,134.0,0.0
101.0,133.0,0.0
97.0,131.0,0.0
93.0,128.0,0.0
89.0,124.0,0.0
85.0,119.0,0.0
81.0,113.0,0.0
77.0,106.0,0.0
73.0,98.0,0.0
69.0,89.0,0.0
65.0,79.0,0.0
61.0,69.0,0.0
57.0,59.0,0.0
53.0,49.0,1.0
53.0,49.0,0.0
49.0,58.0,0.0
45.0,66.0,0.0
41.0,73.0,0.0
37.0,79.0,0.0
33.0,84.0,0.0
29.0,88.0,0.0
25.0,91.0,0.0
21.0,93.0,0.0
17.0,94.0,0.0
13.0,94.0,0.0
9.0,93.0,0.0
5.0,91.0,0.0
1.0,88.0,0.0
141.0,42.0,0.0
137.0,37.0,0.0
133.0,31.0,0.0
129.0,24.0,0.0
125.0,16.0,1.0
125.0,16.0,0.0
121.0,25.0,0.0
117.0,33.0,0.0
113.0,40.0,0.0
109.0,46.0,0.0
105.0,51.0,0.0
101.0,55.0,0.0
97.0,58.0,0.0
93.0,60.0,0.0
89.0,61.0,0.0
85.0,61.0,0.0
81.0,60.0,0.0
77.0,58.0,0.0
73.0,55.0,0.0
69.0,51.0,0.0
65.0,46.0,0.0
61.0,40.0,0.0
57.0,33.0,1.0
57.0,33.0,0.0
53.0,42.0,0.0
49.0,50.0,0.0
45.0,57.0,0.0
41.0,63.0,0.0
37.0,68.0,0.0
33.0,72.0,0.0
29.0,75.0,0.0
25.0,77.0,0.0
21.0,78.0,0.0
17.0,78.0,0.0
13.0,77.0,0.0
9.0,75.0,0.0
5.0,72.0,0.0
1.0,68.0,1.0
1.0,68.0,0.0
149.0,125.0,0.0
145.0,133.0,0.0
141.0,140.0,0.0
137.0,146.0,0.0
133.0,151.0,0.0
129.0,155.0,0.0
125.0,158.0,0.0
121.0,160.0,0.0
117.0,161.0,0.0
113.0,161.0,0.0
109.0,160.0,0.0
105.0,158.0,0.0
101.0,155.0,0.0
97.0,151.0,0.0
93.0,146.0,0.0
89.0,140.0,0.0
85.0,133.0,0.0
81.0,125.0,0.0
77.0,116.0,0.0
73.0,106.0,0.0
69.0,96.0,0.0
65.0,86.0,0.0
61.0,76.0,0.0
57.0,66.0,1.0
57.0,66.0,0.0
53.0,75.0,0.0
49.0,83.0,0.0
45.0,90.0,0.0
41.0,96.0,0.0
37.0,101.0,0.0
33.0,105.0,0.0
29.0,108.0,0.0
25.0,110.0,0.0
21.0,111.0,0.0
17.0,111.0,0.0
13.0,110.0,0.0
9.0,108.0,0.0
5.0,105.0,0.0
1.0,101.0,0.0
141.0,73.0,0.0
137.0,67.0,0.0
133.0,60.0,0.0
129.0,52.0,0.0
125.0,43.0,0.0
121.0,33.0,1.0
121.0,33.0,0.0
117.0,42.0,0.0
113.0,50.0,0.0
109.0,57.0,0.0
105.0,63.0,0.0
101.0,68.0,0.0
97.0,72.0,0.0
93.0,75.0,0.0
89.0,77.0,0.0
85.0,78.0,0.0
81.0,78.0,0.0
77.0,77.0,0.0
73.0,75.0,0.0
69.0,72.0,0.0
65.0,68.0,0.0
61.0,63.0,0.0
57.0,57.0,0.0
53.0,50.0,1.0
53.0,50.0,0.0
49.0,59.0,0.0
45.0,67.0,0.0
41.0,74.0,0.0
37.0,80.0,0.0
33.0,85.0,0.0
29.0,89.0,0.0
25.0,92.0,0.0
21.0,94.0,0.0
17.0,95.0,0.0
13.0,95.0,0.0
9.0,94.0,0.0
5.0,92.0,0.0
1.0,89.0,0.0
149.0,117.0,0.0
145.0,112.0,0.0
141.0,106.0,0.0
137.0,99.0,0.0
133.0,91.0,1.0
133.0,91.0,0.0
129.0,100.0,0.0
125.0,108.0,0.0
121.0,115.0,0.0
117.0,121.0,0.0
113.0,126.0,0.0
109.0,130.0,0.0
105.0,133.0,0.0
101.0,135.0,0.0
97.0,136.0,0.0
93.0,136.0,0.0
89.0,135.0,0.0
85.0,133.0,0.0
81.0,130.0,0.0
77.0,126.0,0.0
73.0,121.0,0.0
69.0,115.0,0.0
65.0,108.0,0.0
61.0,100.0,0.0
57.0,91.0,0.0
53.0,81.0,0.0
49.0,71.0,0.0
45.0,61.0,0.0
41.0,51.0,0.0
37.0,41.0,1.0
37.0,41.0,0.0
33.0,50.0,0.0
29.0,58.0,0.0
25.0,65.0,0.0
21.0,71.0,0.0
17.0,76.0,0.0
13.0,80.0,0.0
9.0,83.0,0.0
5.0,85.0,0.0
1.0,86.0,0.0
141.0,-15.0,0.0
137.0,-16.0,0.0
133.0,-18.0,0.0
129.0,-21.0,0.0
125.0,-25.0,0.0
121.0,-30.0,0.0
117.0,-36.0,1.0
117.0,-36.0,0.0
113.0,-27.0,0.0
109.0,-19.0,0.0
105.0,-12.0,0.0
101.0,-6.0,0.0
97.0,-1.0,0.0
93.0,3.0,0.0
89.0,6.0,0.0
85.0,8.0,0.0
81.0,9.0,0.0
77.0,9.0,1.0
77.0,9.0,0.0
73.0,18.0,0.0
69.0,26.0,0.0
65.0,33.0,0.0
61.0,39.0,0.0
57.0,44.0,0.0
53.0,48.0,0.0
49.0,51.0,1.0
49.0,51.0,0.0
45.0,60.0,0.0
41.0,68.0,0.0
37.0,75.0,0.0
33.0,81.0,0.0
29.0,86.0,0.0
25.0,90.0,0.0
21.0,93.0,0.0
17.0,95.0,0.0
13.0,96.0,0.0
9.0,96.0,0.0
5.0,95.0,0.0
1.0,93.0,0.0
149.0,156.0,0.0
145.0,152.0,0.0
141.0,147.0,0.0
137.0,141.0,0.0
133.0,134.0,1.0
133.0,134.0,0.0
129.0,143.0,0.0
125.0,151.0,0.0
121.0,158.0,0.0
117.0,164.0,0.0
113.0,169.0,0.0
109.0,173.0,0.0
105.0,176.0,0.0
101.0,178.0,0.0
97.0,179.0,0.0
93.0,179.0,0.0
89.0,178.0,0.0
85.0,176.0,0.0
81.0,173.0,0.0
77.0,169.0,0.0
73.0,164.0,0.0
69.0,158.0,0.0
65.0,151.0,0.0
61.0,143.0,0.0
57.0,134.0,0.0
53.0,124.0,0.0
49.0,114.0,0.0
45.0,104.0,0.0
41.0,94.0,0.0
37.0,84.0,0.0
33.0,74.0,0.0
29.0,64.0,1.0
29.0,64.0,0.0
25.0,73.0,0.0
21.0,81.0,0.0
17.0,88.0,0.0
13.0,94.0,0.0
9.0,99.0,0.0
5.0,103.0,0.0
1.0,106.0,0.0
141.0,73.0,0.0
137.0,74.0,0.0
133.0,74.0,0.0
129.0,73.0,0.0
125.0,71.0,0.0
121.0,68.0,0.0
117.0,64.0,0.0
113.0,59.0,0.0
109.0,53.0,0.0
105.0,46.0,0.0
101.0,38.0,0.0
97.0,29.0,1.0
97.0,29.0,0.0
93.0,38.0,0.0
89.0,46.0,0.0
85.0,53.0,0.0
81.0,59.0,0.0
77.0,64.0,0.0
73.0,68.0,0.0
69.0,71.0,0.0
65.0,73.0,0.0
61.0,74.0,0.0
57.0,74.0,0.0
53.0,73.0,0.0
49.0,71.0,0.0
45.0,68.0,0.0
41.0,64.0,0.0
37.0,59.0,0.0
33.0,53.0,0.0
29.0,46.0,1.0
29.0,46.0,0.0
25.0,55.0,0.0
21.0,63.0,0.0
17.0,70.0,0.0
13.0,76.0,0.0
9.0,81.0,0.0
5.0,85.0,0.0
1.0,88.0,0.0
149.0,153.0,0.0
145.0,154.0,0.0
141.0,154.0,0.0
137.0,153.0,0.0
133.0,151.0,0.0
129.0,148.0,0.0
125.0,144.0,0.0
121.0,139.0,0.0
117.0,133.0,0.0
113.0,126.0,0.0
109.0,118.0,0.0
105.0,109.0,0.0
101.0,99.0,0.0
97.0,89.0,0.0
93.0,79.0,1.0
93.0,79.0,0.0
89.0,88.0,0.0
85.0,96.0,0.0
81.0,103.0,0.0
77.0,109.0,0.0
73.0,114.0,0.0
69.0,118.0,0.0
65.0,121.0,0.0
61.0,123.0,0.0
57.0,124.0,0.0
53.0,124.0,0.0
49.0,123.0,0.0
45.0,121.0,0.0
41.0,118.0,0.0
37.0,114.0,0.0
33.0,109.0,0.0
29.0,103.0,0.0
25.0,96.0,0.0
21.0,88.0,0.0
17.0,79.0,0.0
13.0,69.0,0.0
9.0,59.0,1.0
9.0,59.0,0.0
5.0,68.0,0.0
1.0,76.0,0.0
141.0,81.0,0.0
137.0,87.0,0.0
133.0,92.0,0.0
129.0,96.0,0.0
125.0,99.0,0.0
121.0,101.0,0.0
117.0,102.0,0.0
113.0,102.0,0.0
109.0,101.0,0.0
105.0,99.0,0.0
101.0,96.0,0.0
97.0,92.0,0.0
93.0,87.0,0.0
89.0,81.0,0.0
85.0,74.0,0.0
81.0,66.0,0.0
77.0,57.0,1.0
77.0,57.0,0.0
73.0,66.0,0.0
69.0,74.0,0.0
65.0,81.0,0.0
61.0,87.0,0.0
57.0,92.0,0.0
53.0,96.0,0.0
49.0,99.0,0.0
45.0,101.0,0.0
41.0,102.0,0.0
37.0,102.0,0.0
33.0,101.0,0.0
29.0,99.0,0.0
25.0,96.0,0.0
21.0,92.0,0.0
17.0,87.0,0.0
13.0,81.0,0.0
9.0,74.0,0.0
5.0,66.0,0.0
1.0,57.0,1.0
1.0,57.0,0.0
149.0,-12.0,0.0
145.0,-4.0,0.0
141.0,3.0,0.0
137.0,9.0,0.0
133.0,14.0,0.0
129.0,18.0,0.0
125.0,21.0,0.0
121.0,23.0,0.0
117.0,24.0,0.0
113.0,24.0,0.0
109.0,23.0,0.0
105.0,21.0,0.0
101.0,18.0,0.0
97.0,14.0,0.0
93.0,9.0,0.0
89.0,3.0,1.0
89.0,3.0,0.0
85.0,12.0,0.0
81.0,20.0,0.0
77.0,27.0,0.0
73.0,33.0,0.0
69.0,38.0,0.0
65.0,42.0,0.0
61.0,45.0,1.0
61.0,45.0,0.0
57.0,54.0,0.0
53.0,62.0,0.0
49.0,69.0,0.0
45.0,75.0,0.0
41.0,80.0,0.0
37.0,84.0,0.0
33.0,87.0,0.0
29.0,89.0,0.0
25.0,90.0,0.0
21.0,90.0,0.0
17.0,89.0,0.0
13.0,87.0,0.0
9.0,84.0,0.0
5.0,80.0,0.0
1.0,75.0,0.0
141.0,78.0,0.0
137.0,71.0,0.0
133.0,63.0,1.0
133.0,63.0,0.0
129.0,72.0,0.0
125.0,80.0,0.0
121.0,87.0,0.0
117.0,93.0,0.0
113.0,98.0,0.0
109.0,102.0,0.0
105.0,105.0,0.0
101.0,107.0,0.0
97.0,108.0,0.0
93.0,108.0,0.0
89.0,107.0,0.0
85.0,105.0,0.0
81.0,102.0,0.0
77.0,98.0,0.0
73.0,93.0,0.0
69.0,87.0,0.0
65.0,80.0,0.0
61.0,72.0,0.0
57.0,63.0,1.0
57.0,63.0,0.0
53.0,72.0,0.0
49.0,80.0,0.0
45.0,87.0,0.0
41.0,93.0,0.0
37.0,98.0,0.0
33.0,102.0,0.0
29.0,105.0,0.0
25.0,107.0,0.0
21.0,108.0,0.0
17.0,108.0,0.0
13.0,107.0,0.0
9.0,105.0,0.0
5.0,102.0,0.0
1.0,98.0,0.0
149.0,67.0,0.0
145.0,61.0,0.0
141.0,54.0,0.0
137.0,46.0,0.0
133.0,37.0,1.0
133.0,37.0,0.0
129.0,46.0,0.0
125.0,54.0,0.0
121.0,61.0,0.0
117.0,67.0,0.0
113.0,72.0,0.0
109.0,76.0,0.0
105.0,79.0,0.0
101.0,81.0,0.0
97.0,82.0,0.0
93.0,82.0,0.0
89.0,81.0,0.0
85.0,79.0,0.0
81.0,76.0,0.0
77.0,72.0,0.0
73.0,67.0,0.0
69.0,61.0,0.0
65.0,54.0,0.0
61.0,46.0,1.0
61.0,46.0,0.0
57.0,55.0,0.0
53.0,63.0,0.0
49.0,70.0,0.0
45.0,76.0,0.0
41.0,81.0,0.0
37.0,85.0,0.0
33.0,88.0,0.0
29.0,90.0,0.0
25.0,91.0,0.0
21.0,91.0,0.0
17.0,90.0,0.0
13.0,88.0,0.0
9.0,85.0,0.0
5.0,81.0,0.0
1.0,76.0,0.0
141.0,100.0,1.0
141.0,100.0,0.0
137.0,109.0,0.0
133.0,117.0,0.0
129.0,124.0,0.0
125.0,130.0,0.0
121.0,135.0,0.0
117.0,139.0,0.0
113.0,142.0,0.0
109.0,144.0,0.0
105.0,145.0,0.0
101.0,145.0,0.0
97.0,144.0,0.0
93.0,142.0,0.0
89.0,139.0,0.0
85.0,135.0,0.0
81.0,130.0,0.0
77.0,124.0,0.0
73.0,117.0,0.0
69.0,109.0,0.0
65.0,100.0,0.0
61.0,90.0,0.0
57.0,80.0,0.0
53.0,70.0,0.0
49.0,60.0,1.0
49.0,60.0,0.0
45.0,69.0,0.0
41.0,77.0,0.0
37.0,84.0,0.0
33.0,90.0,0.0
29.0,95.0,0.0
25.0,99.0,0.0
21.0,102.0,0.0
17.0,104.0,0.0
13.0,105.0,0.0
9.0,105.0,0.0
5.0,104.0,0.0
1.0,102.0,0.0
149.0,165.0,0.0
145.0,161.0,0.0
141.0,156.0,0.0
137.0,150.0,0.0
133.0,143.0,0.0
129.0,135.0,1.0
129.0,135.0,0.0
125.0,144.0,0.0
121.0,152.0,0.0
117.0,159.0,0.0
113.0,165.0,0.0
109.0,170.0,0.0
105.0,174.0,0.0
101.0,177.0,0.0
97.0,179.0,0.0
93.0,180.0,0.0
89.0,180.0,0.0
85.0,179.0,0.0
81.0,177.0,0.0
77.0,174.0,0.0
73.0,170.0,0.0
69.0,165.0,0.0
65.0,159.0,0.0
61.0,152.0,0.0
57.0,144.0,0.0
53.0,135.0,0.0
49.0,125.0,0.0
45.0,115.0,0.0
41.0,105.0,0.0
37.0,95.0,0.0
33.0,85.0,0.0
29.0,75.0,1.0
29.0,75.0,0.0
25.0,84.0,0.0
21.0,92.0,0.0
17.0,99.0,0.0
13.0,105.0,0.0
9.0,110.0,0.0
5.0,114.0,0.0
1.0,117.0,0.0
141.0,76.0,0.0
137.0,77.0,0.0
133.0,77.0,0.0
129.0,76.0,0.0
125.0,74.0,0.0
121.0,71.0,0.0
117.0,67.0,0.0
113.0,62.0,0.0
109.0,56.0,0.0
105.0,49.0,0.0
101.0,41.0,1.0
101.0,41.0,0.0
97.0,50.0,0.0
93.0,58.0,0.0
89.0,65.0,0.0
85.0,71.0,0.0
81.0,76.0,0.0
77.0,80.0,0.0
73.0,83.0,0.0
69.0,85.0,0.0
65.0,86.0,0.0
61.0,86.0,0.0
57.0,85.0,0.0
53.0,83.0,0.0
49.0,80.0,0.0
45.0,76.0,0.0
41.0,71.0,1.0
41.0,71.0,0.0
37.0,80.0,0.0
33.0,88.0,0.0
29.0,95.0,0.0
25.0,101.0,0.0
21.0,106.0,0.0
17.0,110.0,0.0
13.0,113.0,0.0
9.0,115.0,0.0
5.0,116.0,0.0
1.0,116.0,0.0
149.0,107.0,0.0
145.0,105.0,0.0
141.0,102.0,0.0
137.0,98.0,0.0
133.0,93.0,0.0
129.0,87.0,0.0
125.0,80.0,0.0
121.0,72.0,0.0
117.0,63.0,0.0
113.0,53.0,1.0
113.0,53.0,0.0
109.0,62.0,0.0
105.0,70.0,0.0
101.0,77.0,0.0
97.0,83.0,0.0
93.0,88.0,0.0
89.0,92.0,0.0
85.0,95.0,0.0
81.0,97.0,0.0
77.0,98.0,0.0
73.0,98.0,0.0
69.0,97.0,0.0
65.0,95.0,0.0
61.0,92.0,0.0
57.0,88.0,0.0
53.0,83.0,0.0
49.0,77.0,0.0
45.0,70.0,0.0
41.0,62.0,0.0
37.0,53.0,1.0
37.0,53.0,0.0
33.0,62.0,0.0
29.0,70.0,0.0
25.0,77.0,0.0
21.0,83.0,0.0
17.0,88.0,0.0
13.0,92.0,0.0
9.0,95.0,0.0
5.0,97.0,0.0
1.0,98.0,0.0
141.0,128.0,0.0
137.0,127.0,0.0
133.0,125.0,0.0
129.0,122.0,0.0
125.0,118.0,0.0
121.0,113.0,0.0
117.0,107.0,0.0
113.0,100.0,0.0
109.0,92.0,0.0
105.0,83.0,0.0
101.0,73.0,0.0
97.0,63.0,0.0
93.0,53.0,0.0
89.0,43.0,1.0
89.0,43.0,0.0
85.0,52.0,0.0
81.0,60.0,0.0
77.0,67.0,0.0
73.0,73.0,0.0
69.0,78.0,0.0
65.0,82.0,0.0
61.0,85.0,0.0
57.0,87.0,0.0
53.0,88.0,0.0
49.0,88.0,0.0
45.0,87.0,0.0
41.0,85.0,0.0
37.0,82.0,0.0
33.0,78.0,0.0
29.0,73.0,0.0
25.0,67.0,0.0
21.0,60.0,1.0
21.0,60.0,0.0
17.0,69.0,0.0
13.0,77.0,0.0
9.0,84.0,0.0
5.0,90.0,0.0
1.0,95.0,0.0
149.0,76.0,0.0
145.0,79.0,0.0
141.0,81.0,0.0
137.0,82.0,0.0
133.0,82.0,0.0
129.0,81.0,0.0
125.0,79.0,0.0
121.0,76.0,0.0
117.0,72.0,0.0
113.0,67.0,0.0
109.0,61.0,0.0
105.0,54.0,0.0
101.0,46.0,0.0
97.0,37.0,1.0
97.0,37.0,0.0
93.0,46.0,0.0
89.0,54.0,0.0
85.0,61.0,0.0
81.0,67.0,0.0
77.0,72.0,0.0
73.0,76.0,0.0
69.0,79.0,0.0
65.0,81.0,0.0
61.0,82.0,0.0
57.0,82.0,0.0
53.0,81.0,0.0
49.0,79.0,0.0
45.0,76.0,0.0
41.0,72.0,0.0
37.0,67.0,0.0
33.0,61.0,0.0
29.0,54.0,0.0
25.0,46.0,1.0
25.0,46.0,0.0
21.0,55.0,0.0
17.0,63.0,0.0
13.0,70.0,0.0
9.0,76.0,0.0
5.0,81.0,0.0
1.0,85.0,0.0
141.0,108.0,0.0
137.0,110.0,0.0
133.0,111.0,0.0
129.0,111.0,0.0
125.0,110.0,0.0
121.0,108.0,0.0
117.0,105.0,0.0
113.0,101.0,0.0
109.0,96.0,0.0
105.0,90.0,0.0
101.0,83.0,0.0
97.0,75.0,0.0
93.0,66.0,0.0
89.0,56.0,1.0
89.0,56.0,0.0
85.0,65.0,0.0
81.0,73.0,0.0
77.0,80.0,0.0
73.0,86.0,0.0
69.0,91.0,0.0
65.0,95.0,0.0
61.0,98.0,0.0
57.0,100.0,0.0
53.0,101.0,0.0
49.0,101.0,0.0
45.0,100.0,0.0
41.0,98.0,0.0
37.0,95.0,0.0
33.0,91.0,0.0
29.0,86.0,0.0
25.0,80.0,0.0
21.0,73.0,0.0
17.0,65.0,1.0
17.0,65.0,0.0
13.0,74.0,0.0
9.0,82.0,0.0
5.0,89.0,0.0
1.0,95.0,0.0
149.0,68.0,0.0
145.0,72.0,0.0
141.0,75.0,0.0
137.0,77.0,0.0
133.0,78.0,0.0
129.0,78.0,0.0
125.0,77.0,0.0
121.0,75.0,0.0
117.0,72.0,0.0
113.0,68.0,0.0
109.0,63.0,0.0
105.0,57.0,0.0
101.0,50.0,0.0
97.0,42.0,0.0
93.0,33.0,1.0
93.0,33.0,0.0
89.0,42.0,0.0
85.0,50.0,0.0
81.0,57.0,0.0
77.0,63.0,0.0
73.0,68.0,0.0
69.0,72.0,0.0
65.0,75.0,0.0
61.0,77.0,0.0
57.0,78.0,0.0
53.0,78.0,0.0
49.0,77.0,0.0
45.0,75.0,0.0
41.0,72.0,0.0
37.0,68.0,0.0
33.0,63.0,1.0
33.0,63.0,0.0
29.0,72.0,0.0
25.0,80.0,0.0
21.0,87.0,0.0
17.0,93.0,0.0
13.0,98.0,0.0
9.0,102.0,0.0
5.0,105.0,0.0
1.0,107.0,0.0
141.0,104.0,0.0
137.0,104.0,0.0
133.0,103.0,0.0
129.0,101.0,0.0
125.0,98.0,0.0
121.0,94.0,0.0
117.0,89.0,0.0
113.0,83.0,0.0
109.0,76.0,0.0
105.0,68.0,0.0
101.0,59.0,0.0
97.0,49.0,1.0
97.0,49.0,0.0
93.0,58.0,0.0
89.0,66.0,0.0
85.0,73.0,0.0
81.0,79.0,0.0
77.0,84.0,0.0
73.0,88.0,0.0
69.0,91.0,0.0
65.0,93.0,0.0
61.0,94.0,0.0
57.0,94.0,0.0
53.0,93.0,0.0
49.0,91.0,0.0
45.0,88.0,0.0
41.0,84.0,0.0
37.0,79.0,0.0
33.0,73.0,0.0
29.0,66.0,1.0
29.0,66.0,0.0
25.0,75.0,0.0
21.0,83.0,0.0
17.0,90.0,0.0
13.0,96.0,0.0
9.0,101.0,0.0
5.0,105.0,0.0
1.0,108.0,0.0
149.0,133.0,0.0
145.0,134.0,0.0
141.0,134.0,0.0
137.0,133.0,0.0
133.0,131.0,0.0
129.0,128.0,0.0
125.0,124.0,0.0
121.0,119.0,0.0
117.0,113.0,0.0
113.0,106.0,0.0
109.0,98.0,0.0
105.0,89.0,0.0
101.0,79.0,0.0
97.0,69.0,0.0
93.0,59.0,1.0
93.0,59.0,0.0
89.0,68.0,0.0
85.0,76.0,0.0
81.0,83.0,0.0
77.0,89.0,0.0
73.0,94.0,0.0
69.0,98.0,0.0
65.0,101.0,0.0
61.0,103.0,0.0
57.0,104.0,0.0
53.0,104.0,0.0
49.0,103.0,0.0
45.0,101.0,0.0
41.0,98.0,0.0
37.0,94.0,0.0
33.0,89.0,0.0
29.0,83.0,0.0
25.0,76.0,0.0
21.0,68.0,0.0
17.0,59.0,0.0
13.0,49.0,1.0
13.0,49.0,0.0
9.0,58.0,0.0
5.0,66.0,0.0
1.0,73.0,0.0
141.0,54.0,0.0
137.0,59.0,0.0
133.0,63.0,0.0
129.0,66.0,0.0
125.0,68.0,0.0
121.0,69.0,0.0
117.0,69.0,0.0
113.0,68.0,0.0
109.0,66.0,0.0
105.0,63.0,0.0
101.0,59.0,0.0
97.0,54.0,0.0
93.0,48.0,0.0
89.0,41.0,1.0
89.0,41.0,0.0
85.0,50.0,0.0
81.0,58.0,0.0
77.0,65.0,0.0
73.0,71.0,0.0
69.0,76.0,0.0
65.0,80.0,0.0
61.0,83.0,0.0
57.0,85.0,0.0
53.0,86.0,0.0
49.0,86.0,0.0
45.0,85.0,0.0
41.0,83.0,0.0
37.0,80.0,0.0
33.0,76.0,0.0
29.0,71.0,0.0
25.0,65.0,1.0
25.0,65.0,0.0
21.0,74.0,0.0
17.0,82.0,0.0
13.0,89.0,0.0
